Serial No,Category,Name,Specification,Link
11,Office Furniture,Agudo foot rest for office chair with massager leg feet resting stool foot rest under table for office home under desk foot rester for at Work from home office(1pcs) (Shape 1),,https://www.amazon.in/Agudo-office-massager-resting-rester/dp/B0CG3LFH97/ref=sr_1_14?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-14
12,Office Furniture,Plexda Adjustable Foot Rest for Office Chair with Massage Texture and Roller | Ergonomic Footrest Under Desk with 6 Heights | Leg Resting Stool for Home, Office Table and Sofa (Model 1),https://www.amazon.in/Plexda-Adjustable-Massage-Ergonomic-Footrest/dp/B0BQYHRVMR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-15
13,Office Furniture,MATTERHORN Engineered Wood office Table," work from home Table with Shelf for Storage (DIY, 900 x 500 x 800 cm, MOOT-10001V) (Walnut Black)",https://www.amazon.in/MATTERHORN-Engineered-office-Storage-MOOT-10001V/dp/B0D9H8B9TM/ref=sr_1_16?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-16
14,Office Furniture,Furniture Cafe Wooden Wall Shelves | Corner Hanging Shelf for Living Room Stylish | Zig Zag Home Decor Floating Display Rack Storage Organizer Unique Design with Finish 5 Tiers (Brown Finish),,https://www.amazon.in/Furniture-Cafe-Zigzag-Shelves-Decoration/dp/B07FD6KDK9/ref=sr_1_17?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-17
15,Office Furniture,SBF Furniture Engineered Wood 7-Tier Book Rack,"Storage of Book Case,Free-Standing Books Holder Organizer,Space Saver for Home,Office,Set of 1 (Brown) DIY(Do-It-Yourself)",https://www.amazon.in/SBF-Furniture-Engineered-Free-Standing-Organizer/dp/B0BZ572CVP/ref=sr_1_18?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-18
16,Office Furniture,Riyan Luxiwood® L Shape Executive Desk with Storage Shelves," Two Tier Shelf, Works Well as a Office Conference/Meeting Table, Multi-Utility Office Table, Computer Table (Medium, White)",https://www.amazon.in/Riyan-Luxiwood-Executive-Conference-Multi-Utility/dp/B0C3MFRWVH/ref=sr_1_19?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-19
17,Office Furniture,MODERN FURNITURE SHEESHAM Wooden Study Table for Students Big Size with 6 Drawers Study Desk Table Office Table for Work from Home Writing Office Desk Computer Desk (Natural Walnut),,https://www.amazon.in/MODERN-FURNITURE-SHEESHAM-Students-Computer/dp/B0C2L3QDYB/ref=sr_1_20?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-20
18,Office Furniture,Lukzer MR-002 Light Oak 5-Layer Ladder Bookshelf - DIY Engineered Wood Bookcase for Home Office Décor (149 x 70 x 24 cm),,https://www.amazon.in/Lukzer-Bookshelf-Engineered-Bookcase-Bathroom/dp/B0BHRG4SZG/ref=sr_1_25?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-25
19,Office Furniture,RED Apple Furniture - L Shaped Desk,"Office Table, Computer Table for Home, Gaming Table, Work from Home Office Desk, Writing Workstation Table with Drawers Brown Colour-Engineered Wood.",https://www.amazon.in/RED-Apple-Furniture-Workstation-Colour-Engineered/dp/B0D7DK2FQP/ref=sr_1_26?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-26
20,Office Furniture,ASTRIDE Ergofit Ergonomic Office Chair for Home | 3-Years Warranty | 2D Headrest," Adjustable Arms & Lumbar Support | Tilt Lock Mechanism [Heavy Duty Chromium Metal Base, Grey-White]",https://www.amazon.in/ASTRIDE-Ergofit-Ergonomic-Adjustable-Grey-White/dp/B0CN49729X/ref=sr_1_27?dib=eyJ2IjoiMSJ9.4bmjiENeT5uV_s6VWkkV7sck3-RT85vedTl3TjnUIb44LW-WUFlAc4bJUCuY1mC5HS0IFCYUxp5PxfQqXnhNgaEDd8BqIIdJ1MoVBpjY0eB0ikkmfzHyoxUIuIub-HOKc8fUcxC9Imb9BT0lPwV_RRlseJa2Z8cG8W0oogBZ5cChtpqtqkFi6i2lUIB9sZrUDtAx0MWaIdH_ppgWEydXHwQMtSIY1Yje7CkNNsF8OA2btQ2exd1SLX_GyB8WbAWbWA6NdN87NhNHlXrq3iw7dhZWpBDtjNBb7m-42mg8zeU.X0Wog8f4VlBPV1c3WtXPGesw6Tk6ZWmxlalm-FyAj1M&dib_tag=se&keywords=Office+Furniture&qid=1724565183&sr=8-27
